NAME_1,CASES
Baringo,542
Bomet,711
Bungoma,1671
Busia,3835
Elgeyo-Marakwet,196
Embu,1069
Garissa,1172
Homa Bay,668
Isiolo,404
Kajiado,4420
Kakamega,1708
Kericho,3075
Kiambu,10663
Kilifi,3863
Kirinyaga,798
Kisii,1558
Kisumu,4318
Kitui,1857
Kwale,532
Laikipia,1509
Lamu,333
Machakos,4641
Makueni,956
Mandera,268
Marsabit,241
Meru,2471
Migori,1419
Mombasa,11875
Murang'a,1545
Nairobi,74702
Nakuru,8563
Nandi,1181
Narok,670
Nyamira,748
Nyandarua,893
Nyeri,2061
Samburu,233
Siaya,1314
Taita Taveta,1059
Tana River,113
Tharaka-Nithi,433
Trans Nzoia,1420
Turkana,1685
Uasin Gishu,5511
Vihiga,337
Wajir,101
West Pokot,261
